order_key,order_id,product_key,customer_key,employee_key,shipper_key,order_date,required_date,shipped_date,shipping_timeline,unit_price,quantity,discount,sales_amount,total_order_freight,allocated_freight
16,10253,39,34,3,2,10/07/2013,24/07/2013,16/07/2013,Shipped Early,14.4,42,0,604.8,58.17,24.35
17,10253,49,34,3,2,10/07/2013,24/07/2013,16/07/2013,Shipped Early,16,40,0,640,58.17,25.77
18,10254,24,14,5,2,11/07/2013,08/08/2013,23/07/2013,Shipped Early,3.6,15,0.15,45.9,22.98,1.89
19,10254,55,14,5,2,11/07/2013,08/08/2013,23/07/2013,Shipped Early,19.2,21,0.15,342.72,22.98,14.15
20,10254,74,14,5,2,11/07/2013,08/08/2013,23/07/2013,Shipped Early,8,21,0,168,22.98,6.94
21,10255,2,68,9,3,12/07/2013,09/08/2013,15/07/2013,Shipped Early,15.2,20,0,304,148.33,18.11
22,10255,16,68,9,3,12/07/2013,09/08/2013,15/07/2013,Shipped Early,13.9,35,0,486.5,148.33,28.98
23,10255,36,68,9,3,12/07/2013,09/08/2013,15/07/2013,Shipped Early,15.2,25,0,380,148.33,22.63
24,10255,59,68,9,3,12/07/2013,09/08/2013,15/07/2013,Shipped Early,44,30,0,1320,148.33,78.62
25,10256,53,88,3,2,15/07/2013,12/08/2013,17/07/2013,Shipped Early,26.2,15,0,393,13.97,10.6
26,10256,77,88,3,2,15/07/2013,12/08/2013,17/07/2013,Shipped Early,10.4,12,0,124.8,13.97,3.37
27,10257,27,35,4,3,16/07/2013,13/08/2013,22/07/2013,Shipped Early,35.1,25,0,877.5,81.91,64.18
28,10257,39,35,4,3,16/07/2013,13/08/2013,22/07/2013,Shipped Early,14.4,6,0,86.4,81.91,6.32
29,10257,77,35,4,3,16/07/2013,13/08/2013,22/07/2013,Shipped Early,10.4,15,0,156,81.91,11.41
30,10258,2,20,1,1,17/07/2013,14/08/2013,23/07/2013,Shipped Early,15.2,50,0.2,608,140.51,52.9
31,10258,5,20,1,1,17/07/2013,14/08/2013,23/07/2013,Shipped Early,17,65,0.2,884,140.51,76.92
32,10258,32,20,1,1,17/07/2013,14/08/2013,23/07/2013,Shipped Early,25.6,6,0.2,122.88,140.51,10.69
33,10259,21,13,4,3,18/07/2013,15/08/2013,25/07/2013,Shipped Early,8,10,0,80,3.25,2.58
34,10259,37,13,4,3,18/07/2013,15/08/2013,25/07/2013,Shipped Early,20.8,1,0,20.8,3.25,0.67
35,10260,41,56,4,1,19/07/2013,16/08/2013,29/07/2013,Shipped Early,7.7,16,0.25,92.4,55.09,3.38
36,10260,57,56,4,1,19/07/2013,16/08/2013,29/07/2013,Shipped Early,15.6,50,0,780,55.09,28.56
37,10260,62,56,4,1,19/07/2013,16/08/2013,29/07/2013,Shipped Early,39.4,15,0.25,443.25,55.09,16.23
38,10260,70,56,4,1,19/07/2013,16/08/2013,29/07/2013,Shipped Early,12,21,0.25,189,55.09,6.92
39,10261,21,61,4,2,19/07/2013,16/08/2013,30/07/2013,Shipped Early,8,20,0,160,3.05,1.09
40,10261,35,61,4,2,19/07/2013,16/08/2013,30/07/2013,Shipped Early,14.4,20,0,288,3.05,1.96
41,10262,5,65,8,3,22/07/2013,19/08/2013,25/07/2013,Shipped Early,17,12,0.2,163.2,48.29,13.49
42,10262,7,65,8,3,22/07/2013,19/08/2013,25/07/2013,Shipped Early,24,15,0,360,48.29,29.77
43,10262,56,65,8,3,22/07/2013,19/08/2013,25/07/2013,Shipped Early,30.4,2,0,60.8,48.29,5.03
44,10263,16,20,9,3,23/07/2013,20/08/2013,31/07/2013,Shipped Early,13.9,60,0.25,625.5,146.06,48.76
45,10263,24,20,9,3,23/07/2013,20/08/2013,31/07/2013,Shipped Early,3.6,28,0,100.8,146.06,7.86
46,10263,30,20,9,3,23/07/2013,20/08/2013,31/07/2013,Shipped Early,20.7,60,0.25,931.5,146.06,72.61
47,10263,74,20,9,3,23/07/2013,20/08/2013,31/07/2013,Shipped Early,8,36,0.25,216,146.06,16.84
48,10264,2,24,6,3,24/07/2013,21/08/2013,23/08/2013,Shipping Delayed,15.2,35,0,532,3.67,2.81
49,10264,41,24,6,3,24/07/2013,21/08/2013,23/08/2013,Shipping Delayed,7.7,25,0.15,163.63,3.67,0.86
50,10265,17,7,2,1,25/07/2013,22/08/2013,12/08/2013,Shipped Early,31.2,30,0,936,55.28,44
51,10265,70,7,2,1,25/07/2013,22/08/2013,12/08/2013,Shipped Early,12,20,0,240,55.28,11.28
52,10266,12,87,3,3,26/07/2013,06/09/2013,31/07/2013,Shipped Early,30.4,12,0.05,346.56,25.73,25.73
53,10267,40,25,4,1,29/07/2013,26/08/2013,06/08/2013,Shipped Early,14.7,50,0,735,208.58,43.35
54,10267,59,25,4,1,29/07/2013,26/08/2013,06/08/2013,Shipped Early,44,70,0.15,2618,208.58,154.4
55,10267,76,25,4,1,29/07/2013,26/08/2013,06/08/2013,Shipped Early,14.4,15,0.15,183.6,208.58,10.83
56,10268,29,33,8,3,30/07/2013,27/08/2013,02/08/2013,Shipped Early,99,10,0,990,66.29,59.6
57,10268,72,33,8,3,30/07/2013,27/08/2013,02/08/2013,Shipped Early,27.8,4,0,111.2,66.29,6.69
58,10269,33,89,5,1,31/07/2013,14/08/2013,09/08/2013,Shipped Early,2,60,0.05,114,4.56,0.81
59,10269,72,89,5,1,31/07/2013,14/08/2013,09/08/2013,Shipped Early,27.8,20,0.05,528.2,4.56,3.75
60,10270,36,87,1,1,01/08/2013,29/08/2013,02/08/2013,Shipped Early,15.2,30,0,456,136.54,45.25
61,10270,43,87,1,1,01/08/2013,29/08/2013,02/08/2013,Shipped Early,36.8,25,0,920,136.54,91.29
62,10271,33,75,6,2,01/08/2013,29/08/2013,30/08/2013,Shipping Delayed,2,24,0,48,4.54,4.54
63,10272,20,65,6,2,02/08/2013,30/08/2013,06/08/2013,Shipped Early,64.8,6,0,388.8,98.03,26.18
64,10272,31,65,6,2,02/08/2013,30/08/2013,06/08/2013,Shipped Early,10,40,0,400,98.03,26.93
65,10272,72,65,6,2,02/08/2013,30/08/2013,06/08/2013,Shipped Early,27.8,24,0,667.2,98.03,44.92
66,10273,10,63,3,3,05/08/2013,02/09/2013,12/08/2013,Shipped Early,24.8,24,0.05,565.44,76.07,21.11
67,10273,31,63,3,3,05/08/2013,02/09/2013,12/08/2013,Shipped Early,10,15,0.05,142.5,76.07,5.32
68,10273,33,63,3,3,05/08/2013,02/09/2013,12/08/2013,Shipped Early,2,20,0,40,76.07,1.49
69,10273,40,63,3,3,05/08/2013,02/09/2013,12/08/2013,Shipped Early,14.7,60,0.05,837.9,76.07,31.29
70,10273,76,63,3,3,05/08/2013,02/09/2013,12/08/2013,Shipped Early,14.4,33,0.05,451.44,76.07,16.86
71,10274,71,85,6,1,06/08/2013,03/09/2013,16/08/2013,Shipped Early,17.2,20,0,344,6.01,3.84
72,10274,72,85,6,1,06/08/2013,03/09/2013,16/08/2013,Shipped Early,27.8,7,0,194.6,6.01,2.17
73,10275,24,49,1,1,07/08/2013,04/09/2013,09/08/2013,Shipped Early,3.6,12,0.05,41.04,26.93,3.79
74,10275,59,49,1,1,07/08/2013,04/09/2013,09/08/2013,Shipped Early,44,6,0.05,250.8,26.93,23.14
75,10276,10,80,8,3,08/08/2013,22/08/2013,14/08/2013,Shipped Early,24.8,15,0,372,13.84,12.26
76,10276,13,80,8,3,08/08/2013,22/08/2013,14/08/2013,Shipped Early,4.8,10,0,48,13.84,1.58
77,10277,28,52,2,3,09/08/2013,06/09/2013,13/08/2013,Shipped Early,36.4,20,0,728,125.77,76.25
78,10277,62,52,2,3,09/08/2013,06/09/2013,13/08/2013,Shipped Early,39.4,12,0,472.8,125.77,49.52
79,10278,44,5,8,2,12/08/2013,09/09/2013,16/08/2013,Shipped Early,15.5,16,0,248,92.69,15.44
80,10278,59,5,8,2,12/08/2013,09/09/2013,16/08/2013,Shipped Early,44,15,0,660,92.69,41.09
81,10278,63,5,8,2,12/08/2013,09/09/2013,16/08/2013,Shipped Early,35.1,8,0,280.8,92.69,17.48
82,10278,73,5,8,2,12/08/2013,09/09/2013,16/08/2013,Shipped Early,12,25,0,300,92.69,18.68
83,10279,17,44,8,2,13/08/2013,10/09/2013,16/08/2013,Shipped Early,31.2,15,0.25,351,25.83,25.83
84,10280,24,5,2,1,14/08/2013,11/09/2013,12/09/2013,Shipping Delayed,3.6,12,0,43.2,8.98,0.63
85,10280,55,5,2,1,14/08/2013,11/09/2013,12/09/2013,Shipping Delayed,19.2,20,0,384,8.98,5.62
86,10280,75,5,2,1,14/08/2013,11/09/2013,12/09/2013,Shipping Delayed,6.2,30,0,186,8.98,2.72
87,10281,19,69,4,1,14/08/2013,28/08/2013,21/08/2013,Shipped Early,7.3,1,0,7.3,2.94,0.25
88,10281,24,69,4,1,14/08/2013,28/08/2013,21/08/2013,Shipped Early,3.6,6,0,21.6,2.94,0.73
89,10281,35,69,4,1,14/08/2013,28/08/2013,21/08/2013,Shipped Early,14.4,4,0,57.6,2.94,1.96
90,10282,30,69,4,1,15/08/2013,12/09/2013,21/08/2013,Shipped Early,20.7,6,0,124.2,12.69,10.14
91,10282,57,69,4,1,15/08/2013,12/09/2013,21/08/2013,Shipped Early,15.6,2,0,31.2,12.69,2.55
92,10283,15,46,3,3,16/08/2013,13/09/2013,23/08/2013,Shipped Early,12.4,20,0,248,84.81,14.87
93,10283,19,46,3,3,16/08/2013,13/09/2013,23/08/2013,Shipped Early,7.3,18,0,131.4,84.81,7.88
94,10283,60,46,3,3,16/08/2013,13/09/2013,23/08/2013,Shipped Early,27.2,35,0,952,84.81,57.07
95,10283,72,46,3,3,16/08/2013,13/09/2013,23/08/2013,Shipped Early,27.8,3,0,83.4,84.81,5
96,10284,27,44,4,1,19/08/2013,16/09/2013,27/08/2013,Shipped Early,35.1,15,0.25,394.88,76.56,25.83
97,10284,44,44,4,1,19/08/2013,16/09/2013,27/08/2013,Shipped Early,15.5,21,0,325.5,76.56,21.29
98,10284,60,44,4,1,19/08/2013,16/09/2013,27/08/2013,Shipped Early,27.2,20,0.25,408,76.56,26.69
99,10284,67,44,4,1,19/08/2013,16/09/2013,27/08/2013,Shipped Early,11.2,5,0.25,42,76.56,2.75
100,10285,1,63,1,2,20/08/2013,17/09/2013,26/08/2013,Shipped Early,14.4,45,0.2,518.4,76.83,22.85
101,10285,40,63,1,2,20/08/2013,17/09/2013,26/08/2013,Shipped Early,14.7,40,0.2,470.4,76.83,20.73
102,10285,53,63,1,2,20/08/2013,17/09/2013,26/08/2013,Shipped Early,26.2,36,0.2,754.56,76.83,33.25
103,10286,35,63,8,3,21/08/2013,18/09/2013,30/08/2013,Shipped Early,14.4,100,0,1440,229.24,109.45
104,10286,62,63,8,3,21/08/2013,18/09/2013,30/08/2013,Shipped Early,39.4,40,0,1576,229.24,119.79
105,10287,16,67,8,3,22/08/2013,19/09/2013,28/08/2013,Shipped Early,13.9,40,0.15,472.6,12.76,7.36
106,10287,34,67,8,3,22/08/2013,19/09/2013,28/08/2013,Shipped Early,11.2,20,0,224,12.76,3.49
107,10287,46,67,8,3,22/08/2013,19/09/2013,28/08/2013,Shipped Early,9.6,15,0.15,122.4,12.76,1.91
108,10288,54,66,4,1,23/08/2013,20/09/2013,03/09/2013,Shipped Early,5.9,10,0.1,53.1,7.45,4.94
109,10288,68,66,4,1,23/08/2013,20/09/2013,03/09/2013,Shipped Early,10,3,0.1,27,7.45,2.51
110,10289,3,11,7,3,26/08/2013,23/09/2013,28/08/2013,Shipped Early,8,30,0,240,22.77,11.4
111,10289,64,11,7,3,26/08/2013,23/09/2013,28/08/2013,Shipped Early,26.6,9,0,239.4,22.77,11.37
112,10290,5,15,8,1,27/08/2013,24/09/2013,03/09/2013,Shipped Early,17,20,0,340,79.7,12.49
113,10290,29,15,8,1,27/08/2013,24/09/2013,03/09/2013,Shipped Early,99,15,0,1485,79.7,54.57
114,10290,49,15,8,1,27/08/2013,24/09/2013,03/09/2013,Shipped Early,16,15,0,240,79.7,8.82
115,10290,77,15,8,1,27/08/2013,24/09/2013,03/09/2013,Shipped Early,10.4,10,0,104,79.7,3.82
116,10291,13,61,6,2,27/08/2013,24/09/2013,04/09/2013,Shipped Early,4.8,20,0.1,86.4,6.4,1.11
117,10291,44,61,6,2,27/08/2013,24/09/2013,04/09/2013,Shipped Early,15.5,24,0.1,334.8,6.4,4.31
118,10291,51,61,6,2,27/08/2013,24/09/2013,04/09/2013,Shipped Early,42.4,2,0.1,76.32,6.4,0.98
119,10292,20,81,1,2,28/08/2013,25/09/2013,02/09/2013,Shipped Early,64.8,20,0,1296,1.35,1.35
120,10293,18,80,1,3,29/08/2013,26/09/2013,11/09/2013,Shipped Early,50,12,0,600,21.18,14.97
121,10293,24,80,1,3,29/08/2013,26/09/2013,11/09/2013,Shipped Early,3.6,10,0,36,21.18,0.9
122,10293,63,80,1,3,29/08/2013,26/09/2013,11/09/2013,Shipped Early,35.1,5,0,175.5,21.18,4.38
123,10293,75,80,1,3,29/08/2013,26/09/2013,11/09/2013,Shipped Early,6.2,6,0,37.2,21.18,0.93
124,10294,1,65,4,2,30/08/2013,27/09/2013,05/09/2013,Shipped Early,14.4,18,0,259.2,147.26,20.22
125,10294,17,65,4,2,30/08/2013,27/09/2013,05/09/2013,Shipped Early,31.2,15,0,468,147.26,36.51
126,10294,43,65,4,2,30/08/2013,27/09/2013,05/09/2013,Shipped Early,36.8,15,0,552,147.26,43.06
127,10294,60,65,4,2,30/08/2013,27/09/2013,05/09/2013,Shipped Early,27.2,21,0,571.2,147.26,44.56
128,10294,75,65,4,2,30/08/2013,27/09/2013,05/09/2013,Shipped Early,6.2,6,0,37.2,147.26,2.9
129,10295,56,85,2,2,02/09/2013,30/09/2013,10/09/2013,Shipped Early,30.4,4,0,121.6,1.15,1.15
130,10296,11,46,6,1,03/09/2013,01/10/2013,11/09/2013,Shipped Early,16.8,12,0,201.6,0.12,0.02
131,10296,16,46,6,1,03/09/2013,01/10/2013,11/09/2013,Shipped Early,13.9,30,0,417,0.12,0.05
132,10296,69,46,6,1,03/09/2013,01/10/2013,11/09/2013,Shipped Early,28.8,15,0,432,0.12,0.05
133,10297,39,7,5,2,04/09/2013,16/10/2013,10/09/2013,Shipped Early,14.4,60,0,864,5.74,3.49
134,10297,72,7,5,2,04/09/2013,16/10/2013,10/09/2013,Shipped Early,27.8,20,0,556,5.74,2.25
135,10298,2,37,6,2,05/09/2013,03/10/2013,11/09/2013,Shipped Early,15.2,40,0,608,168.22,38.67
136,10298,36,37,6,2,05/09/2013,03/10/2013,11/09/2013,Shipped Early,15.2,40,0.25,456,168.22,29
137,10298,59,37,6,2,05/09/2013,03/10/2013,11/09/2013,Shipped Early,44,30,0.25,990,168.22,62.96
138,10298,62,37,6,2,05/09/2013,03/10/2013,11/09/2013,Shipped Early,39.4,15,0,591,168.22,37.59
139,10299,19,67,4,2,06/09/2013,04/10/2013,13/09/2013,Shipped Early,7.3,15,0,109.5,29.76,9.32
140,10299,70,67,4,2,06/09/2013,04/10/2013,13/09/2013,Shipped Early,12,20,0,240,29.76,20.44
141,10300,66,49,2,2,09/09/2013,07/10/2013,18/09/2013,Shipped Early,13.6,30,0,408,17.68,11.86
142,10300,68,49,2,2,09/09/2013,07/10/2013,18/09/2013,Shipped Early,10,20,0,200,17.68,5.82
143,10301,40,86,8,2,09/09/2013,07/10/2013,17/09/2013,Shipped Early,14.7,10,0,147,45.08,8.78
144,10301,56,86,8,2,09/09/2013,07/10/2013,17/09/2013,Shipped Early,30.4,20,0,608,45.08,36.3
145,10302,17,76,4,2,10/09/2013,08/10/2013,09/10/2013,Shipping Delayed,31.2,40,0,1248,6.27,2.89
146,10302,28,76,4,2,10/09/2013,08/10/2013,09/10/2013,Shipping Delayed,36.4,28,0,1019.2,6.27,2.36
147,10302,43,76,4,2,10/09/2013,08/10/2013,09/10/2013,Shipping Delayed,36.8,12,0,441.6,6.27,1.02
148,10303,40,30,7,2,11/09/2013,09/10/2013,18/09/2013,Shipped Early,14.7,40,0.1,529.2,107.83,51.05
149,10303,65,30,7,2,11/09/2013,09/10/2013,18/09/2013,Shipped Early,16.8,30,0.1,453.6,107.83,43.76
150,10303,68,30,7,2,11/09/2013,09/10/2013,18/09/2013,Shipped Early,10,15,0.1,135,107.83,13.02
151,10304,49,80,1,2,12/09/2013,10/10/2013,17/09/2013,Shipped Early,16,30,0,480,63.79,32.08
152,10304,59,80,1,2,12/09/2013,10/10/2013,17/09/2013,Shipped Early,44,10,0,440,63.79,29.41
153,10304,71,80,1,2,12/09/2013,10/10/2013,17/09/2013,Shipped Early,17.2,2,0,34.4,63.79,2.3
154,10305,18,55,8,3,13/09/2013,11/10/2013,09/10/2013,Shipped Early,50,25,0.1,1125,257.62,77.47
155,10305,29,55,8,3,13/09/2013,11/10/2013,09/10/2013,Shipped Early,99,25,0.1,2227.5,257.62,153.38
156,10305,39,55,8,3,13/09/2013,11/10/2013,09/10/2013,Shipped Early,14.4,30,0.1,388.8,257.62,26.77
157,10306,30,69,1,3,16/09/2013,14/10/2013,23/09/2013,Shipped Early,20.7,10,0,207,7.56,3.14
158,10306,53,69,1,3,16/09/2013,14/10/2013,23/09/2013,Shipped Early,26.2,10,0,262,7.56,3.97
159,10306,54,69,1,3,16/09/2013,14/10/2013,23/09/2013,Shipped Early,5.9,5,0,29.5,7.56,0.45
160,10307,62,48,2,2,17/09/2013,15/10/2013,25/09/2013,Shipped Early,39.4,10,0,394,0.56,0.52
161,10307,68,48,2,2,17/09/2013,15/10/2013,25/09/2013,Shipped Early,10,3,0,30,0.56,0.04
162,10308,69,2,7,3,18/09/2013,16/10/2013,24/09/2013,Shipped Early,28.8,1,0,28.8,1.61,0.52
163,10308,70,2,7,3,18/09/2013,16/10/2013,24/09/2013,Shipped Early,12,5,0,60,1.61,1.09
164,10309,4,37,3,1,19/09/2013,17/10/2013,23/10/2013,Shipping Delayed,17.6,20,0,352,47.3,9.45
165,10309,6,37,3,1,19/09/2013,17/10/2013,23/10/2013,Shipping Delayed,20,30,0,600,47.3,16.11
166,10309,42,37,3,1,19/09/2013,17/10/2013,23/10/2013,Shipping Delayed,11.2,2,0,22.4,47.3,0.6
167,10309,43,37,3,1,19/09/2013,17/10/2013,23/10/2013,Shipping Delayed,36.8,20,0,736,47.3,19.76
168,10309,71,37,3,1,19/09/2013,17/10/2013,23/10/2013,Shipping Delayed,17.2,3,0,51.6,47.3,1.39
169,10310,16,77,8,2,20/09/2013,18/10/2013,27/09/2013,Shipped Early,13.9,10,0,139,17.52,7.25
170,10310,62,77,8,2,20/09/2013,18/10/2013,27/09/2013,Shipped Early,39.4,5,0,197,17.52,10.27
171,10311,42,18,1,3,20/09/2013,04/10/2013,26/09/2013,Shipped Early,11.2,6,0,67.2,24.69,6.17
172,10311,69,18,1,3,20/09/2013,04/10/2013,26/09/2013,Shipped Early,28.8,7,0,201.6,24.69,18.52
173,10312,28,86,2,2,23/09/2013,21/10/2013,03/10/2013,Shipped Early,36.4,4,0,145.6,40.26,3.63
174,10312,43,86,2,2,23/09/2013,21/10/2013,03/10/2013,Shipped Early,36.8,24,0,883.2,40.26,22.02
175,10312,53,86,2,2,23/09/2013,21/10/2013,03/10/2013,Shipped Early,26.2,20,0,524,40.26,13.06
176,10312,75,86,2,2,23/09/2013,21/10/2013,03/10/2013,Shipped Early,6.2,10,0,62,40.26,1.55
177,10313,36,63,2,2,24/09/2013,22/10/2013,04/10/2013,Shipped Early,15.2,12,0,182.4,1.96,1.96
178,10314,32,65,1,2,25/09/2013,23/10/2013,04/10/2013,Shipped Early,25.6,40,0.1,921.6,74.16,32.63
179,10314,58,65,1,2,25/09/2013,23/10/2013,04/10/2013,Shipped Early,10.6,30,0.1,286.2,74.16,10.13
180,10314,62,65,1,2,25/09/2013,23/10/2013,04/10/2013,Shipped Early,39.4,25,0.1,886.5,74.16,31.39
181,10315,34,38,4,2,26/09/2013,24/10/2013,03/10/2013,Shipped Early,11.2,14,0,156.8,41.76,12.67
182,10315,70,38,4,2,26/09/2013,24/10/2013,03/10/2013,Shipped Early,12,30,0,360,41.76,29.09
183,10316,41,65,1,3,27/09/2013,25/10/2013,08/10/2013,Shipped Early,7.7,10,0,77,150.15,4.08
184,10316,62,65,1,3,27/09/2013,25/10/2013,08/10/2013,Shipped Early,39.4,70,0,2758,150.15,146.07
185,10317,1,48,6,1,30/09/2013,28/10/2013,10/10/2013,Shipped Early,14.4,20,0,288,12.69,12.69
186,10318,41,38,8,2,01/10/2013,29/10/2013,04/10/2013,Shipped Early,7.7,20,0,154,4.73,3.03
187,10318,76,38,8,2,01/10/2013,29/10/2013,04/10/2013,Shipped Early,14.4,6,0,86.4,4.73,1.7
188,10319,17,80,7,3,02/10/2013,30/10/2013,11/10/2013,Shipped Early,31.2,8,0,249.6,64.5,13.52
189,10319,28,80,7,3,02/10/2013,30/10/2013,11/10/2013,Shipped Early,36.4,14,0,509.6,64.5,27.59
190,10319,76,80,7,3,02/10/2013,30/10/2013,11/10/2013,Shipped Early,14.4,30,0,432,64.5,23.39
191,10320,71,87,5,3,03/10/2013,17/10/2013,18/10/2013,Shipping Delayed,17.2,30,0,516,34.57,34.57
192,10321,35,38,3,2,03/10/2013,31/10/2013,11/10/2013,Shipped Early,14.4,10,0,144,3.43,3.43
193,10322,52,58,7,3,04/10/2013,01/11/2013,23/10/2013,Shipped Early,5.6,20,0,112,0.4,0.4
194,10323,15,39,4,1,07/10/2013,04/11/2013,14/10/2013,Shipped Early,12.4,5,0,62,4.88,1.84
195,10323,25,39,4,1,07/10/2013,04/11/2013,14/10/2013,Shipped Early,11.2,4,0,44.8,4.88,1.33
196,10323,39,39,4,1,07/10/2013,04/11/2013,14/10/2013,Shipped Early,14.4,4,0,57.6,4.88,1.71
197,10324,16,71,9,1,08/10/2013,05/11/2013,10/10/2013,Shipped Early,13.9,21,0.15,248.12,214.27,10.08
198,10324,35,71,9,1,08/10/2013,05/11/2013,10/10/2013,Shipped Early,14.4,70,0.15,856.8,214.27,34.8
199,10324,46,71,9,1,08/10/2013,05/11/2013,10/10/2013,Shipped Early,9.6,30,0,288,214.27,11.7
200,10324,59,71,9,1,08/10/2013,05/11/2013,10/10/2013,Shipped Early,44,40,0.15,1496,214.27,60.76
201,10324,63,71,9,1,08/10/2013,05/11/2013,10/10/2013,Shipped Early,35.1,80,0.15,2386.8,214.27,96.94
202,10325,6,39,1,3,09/10/2013,23/10/2013,14/10/2013,Shipped Early,20,6,0,120,64.86,5.2
203,10325,13,39,1,3,09/10/2013,23/10/2013,14/10/2013,Shipped Early,4.8,12,0,57.6,64.86,2.5
204,10325,14,39,1,3,09/10/2013,23/10/2013,14/10/2013,Shipped Early,18.6,9,0,167.4,64.86,7.25
205,10325,31,39,1,3,09/10/2013,23/10/2013,14/10/2013,Shipped Early,10,4,0,40,64.86,1.73
206,10325,72,39,1,3,09/10/2013,23/10/2013,14/10/2013,Shipped Early,27.8,40,0,1112,64.86,48.18
207,10326,4,8,4,2,10/10/2013,07/11/2013,14/10/2013,Shipped Early,17.6,24,0,422.4,77.92,33.52
208,10326,57,8,4,2,10/10/2013,07/11/2013,14/10/2013,Shipped Early,15.6,16,0,249.6,77.92,19.81
209,10326,75,8,4,2,10/10/2013,07/11/2013,14/10/2013,Shipped Early,6.2,50,0,310,77.92,24.6
210,10327,2,24,2,1,11/10/2013,08/11/2013,14/10/2013,Shipped Early,15.2,25,0.2,304,63.36,10.64
211,10327,11,24,2,1,11/10/2013,08/11/2013,14/10/2013,Shipped Early,16.8,50,0.2,672,63.36,23.52
212,10327,30,24,2,1,11/10/2013,08/11/2013,14/10/2013,Shipped Early,20.7,35,0.2,579.6,63.36,20.29
213,10327,58,24,2,1,11/10/2013,08/11/2013,14/10/2013,Shipped Early,10.6,30,0.2,254.4,63.36,8.91
214,10328,59,28,4,3,14/10/2013,11/11/2013,17/10/2013,Shipped Early,44,9,0,396,87.03,29.51
215,10328,65,28,4,3,14/10/2013,11/11/2013,17/10/2013,Shipped Early,16.8,40,0,672,87.03,50.07
216,10328,68,28,4,3,14/10/2013,11/11/2013,17/10/2013,Shipped Early,10,10,0,100,87.03,7.45
217,10329,19,75,4,2,15/10/2013,26/11/2013,23/10/2013,Shipped Early,7.3,10,0.05,69.35,191.67,2.9
218,10329,30,75,4,2,15/10/2013,26/11/2013,23/10/2013,Shipped Early,20.7,8,0.05,157.32,191.67,6.59
219,10329,38,75,4,2,15/10/2013,26/11/2013,23/10/2013,Shipped Early,210.8,20,0.05,4005.2,191.67,167.67
220,10329,56,75,4,2,15/10/2013,26/11/2013,23/10/2013,Shipped Early,30.4,12,0.05,346.56,191.67,14.51
221,10330,26,46,3,1,16/10/2013,13/11/2013,28/10/2013,Shipped Early,24.9,50,0.15,1058.25,12.75,8.18
222,10330,72,46,3,1,16/10/2013,13/11/2013,28/10/2013,Shipped Early,27.8,25,0.15,590.75,12.75,4.57
223,10331,54,9,9,1,16/10/2013,27/11/2013,21/10/2013,Shipped Early,5.9,15,0,88.5,10.19,10.19
224,10332,18,51,3,2,17/10/2013,28/11/2013,21/10/2013,Shipped Early,50,40,0.2,1600,52.84,47.31
225,10332,42,51,3,2,17/10/2013,28/11/2013,21/10/2013,Shipped Early,11.2,10,0.2,89.6,52.84,2.65
226,10332,47,51,3,2,17/10/2013,28/11/2013,21/10/2013,Shipped Early,7.6,16,0.2,97.28,52.84,2.88
227,10333,14,87,5,3,18/10/2013,15/11/2013,25/10/2013,Shipped Early,18.6,10,0,186,0.59,0.13
228,10333,21,87,5,3,18/10/2013,15/11/2013,25/10/2013,Shipped Early,8,10,0.1,72,0.59,0.05
229,10333,71,87,5,3,18/10/2013,15/11/2013,25/10/2013,Shipped Early,17.2,40,0.1,619.2,0.59,0.42
