customer_key,customer_id,company_name,contact_name,contact_title,city,country
34,HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil
35,HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,San Cristóbal,Venezuela
36,HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,Elgin,USA
37,HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,Cork,Ireland
38,ISLAT,Island Trading,Helen Bennett,Marketing Manager,Cowes,UK
39,KOENE,Königlich Essen,Philip Cramer,Sales Associate,Brandenburg,Germany
40,LACOR,La corne d'abondance,Daniel Tonini,Sales Representative,Versailles,France
41,LAMAI,La maison d'Asie,Annette Roulet,Sales Manager,Toulouse,France
42,LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Marketing Assistant,Vancouver,Canada
43,LAZYK,Lazy K Kountry Store,John Steel,Marketing Manager,Walla Walla,USA
44,LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,Frankfurt a.M.,Germany
45,LETSS,Let's Stop N Shop,Jaime Yorres,Owner,San Francisco,USA
46,LILAS,LILA-Supermercado,Carlos González,Accounting Manager,Barquisimeto,Venezuela
47,LINOD,LINO-Delicateses,Felipe Izquierdo,Owner,I. de Margarita,Venezuela
48,LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,Portland,USA
49,MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Bergamo,Italy
50,MAISD,Maison Dewey,Catherine Dewey,Sales Agent,Bruxelles,Belgium
51,MEREP,Mère Paillarde,Jean Fresnière,Marketing Assistant,Montréal,Canada
52,MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,Leipzig,Germany
53,NORTS,North/South,Simon Crowther,Sales Associate,London,UK
54,OCEAN,Océano Atlántico Ltda.,Yvonne Moncada,Sales Agent,Buenos Aires,Argentina
55,OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,Anchorage,USA
56,OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,Köln,Germany
57,PARIS,Paris spécialités,Marie Bertrand,Owner,Paris,France
58,PERIC,Pericles Comidas clásicas,Guillermo Fernández,Sales Representative,Mexico City,Mexico
59,PICCO,Piccolo und mehr,Georg Pipps,Sales Manager,Salzburg,Austria
60,PRINI,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,Lisboa,Portugal
61,QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,Rio de Janeiro,Brazil
62,QUEEN,Queen Cozinha,Lúcia Carvalho,Marketing Assistant,Sao Paulo,Brazil
63,QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,Cunewalde,Germany
64,RANCH,Rancho grande,Sergio Gutiérrez,Sales Representative,Buenos Aires,Argentina
65,RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,USA
66,REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,Reggio Emilia,Italy
67,RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,Rio de Janeiro,Brazil
68,RICSU,Richter Supermarkt,Michael Holz,Sales Manager,Genève,Switzerland
69,ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,Madrid,Spain
70,SANTG,Santé Gourmet,Jonas Bergulfsen,Owner,Stavern,Norway
71,SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,Boise,USA
72,SEVES,Seven Seas Imports,Hari Kumar,Sales Manager,London,UK
73,SIMOB,Simons bistro,Jytte Petersen,Owner,Kobenhavn,Denmark
74,SPECD,Spécialités du monde,Dominique Perrier,Marketing Manager,Paris,France
75,SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,Lander,USA
76,SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,Charleroi,Belgium
77,THEBI,The Big Cheese,Liz Nixon,Marketing Manager,Portland,USA
78,THECR,The Cracker Box,Liu Wong,Marketing Assistant,Butte,USA
79,TOMSP,Toms Spezialitäten,Karin Josephs,Marketing Manager,Münster,Germany
80,TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,Mexico City,Mexico
81,TRADH,Tradição Hipermercados,Anabela Domingues,Sales Representative,Sao Paulo,Brazil
82,TRAIH,Trail's Head Gourmet Provisioners,Helvetius Nagy,Sales Associate,Kirkland,USA
83,VAFFE,Vaffeljernet,Palle Ibsen,Sales Manager,Århus,Denmark
84,VICTE,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France
85,VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France
86,WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,Stuttgart,Germany
87,WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Oulu,Finland
88,WELLI,Wellington Importadora,Paula Parente,Sales Manager,Resende,Brazil
89,WHITC,White Clover Markets,Karl Jablonski,Owner,Seattle,USA
90,WILMK,Wilman Kala,Matti Karttunen,Owner,Helsinki,Finland
91,WOLZA,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Owner,Warszawa,Poland
